Name,Subscription,ResourceGroupName,Location,OsType,Size,TargetSize,AvailabilitySet
vaaztiamshf100,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_D4s_v3,
vaaztiamshf100restore,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_D4s_v3,
VAAZTIAMSPS150,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_PS
VAAZTIAMSPS151,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_PS
VAAZTIAMSPS300,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_SPS300
VAAZTIAMSPS301,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_SPS300
VAAZTIAMSPS350,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSPS351,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP100,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,IAMSHARED_TX_AS_SRP100
VAAZTIAMSRP101,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,IAMSHARED_TX_AS_SRP100
VAAZTIAMSRP150,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP151,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP152,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP153,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP154,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP155,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP156,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP157,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP158,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP159,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP160,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP161,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMSRP350,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP351,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP352,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP353,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP354,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP355,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP356,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP357,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP358,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP359,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP360,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSRP361,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMSSO100,PROD-GOV-INTERNAL,ACSPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A2_v2,Standard_F2,ACSPROD2_AS_SSO100
VAAZTIAMSSO101,PROD-GOV-INTERNAL,ACSPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A2_v2,Standard_F2,ACSPROD2_AS_SSO100
VAAZTIAMSSO300,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A2_v2,Standard_F2,ACSPREPROD2_AS_SSO300
VAAZTIAMSSO301,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A2_v2,Standard_F2,ACSPREPROD2_AS_SSO300
